date,USD,KZT,BYR,UAH,EUR
2005-12,28.7825,0.215337,0.013363,5.67232,34.185
2006-01,28.1207,0.212788,0.013073,5.49426,34.0373
2006-02,28.1223,0.2158,0.013068,5.50069,33.3305
2006-03,27.7626,0.216133,0.012906,5.43693,33.4734
2006-04,27.2739,0.21917,0.012685,5.37279,34.1906
2006-05,26.984,0.222356,0.012583,5.39141,34.6367
2006-06,27.0789,0.228231,0.012634,5.37408,33.9759
2006-07,26.8718,0.227009,0.01254,5.3297,34.1084
2006-08,26.7379,0.21351,0.01248,5.29463,34.3127
2006-09,26.7799,0.210492,0.012505,5.29896,33.9783
2006-10,26.7477,0.209255,0.012489,5.2737,34.0284
2006-11,26.3147,0.205645,0.012292,5.20053,34.6775
2006-12,26.3311,0.207609,0.012291,5.21987,34.6965
2007-01,26.5331,0.209858,0.01233,5.23655,34.3896
2007-02,26.1599,0.211404,0.012178,5.16545,34.518
2007-03,26.0113,0.210061,0.012124,5.13966,34.6861
2007-04,25.6851,0.213842,0.011948,5.08233,35.0653
2007-05,25.9031,0.212978,0.012048,5.13696,34.8164
2007-06,25.8162,0.211011,0.012019,5.11465,34.715
2007-07,25.5999,0.20708,0.011916,5.08874,34.9336
2007-08,25.6494,0.202971,0.011924,5.09989,35.0114
2007-09,24.9493,0.206255,0.011601,4.95517,35.3457
2007-10,24.7238,0.204442,0.011483,4.89212,35.5874
2007-11,24.3506,0.201492,0.011291,4.80345,36.0389
2007-12,24.5462,0.203492,0.01139,4.82357,35.9332
2008-01,24.4764,0.203622,0.011369,4.79929,36.1688
2008-02,24.1159,0.199665,0.011225,4.73148,36.4054
2008-03,23.5156,0.19484,0.010946,4.66256,37.0676
2008-04,23.6471,0.196342,0.011038,4.73292,36.8895
2008-05,23.7384,0.196848,0.011114,4.93501,36.7827
2008-06,23.4573,0.194304,0.011036,4.95654,36.9077
2008-07,23.4456,0.195087,0.01108,5.03124,36.5329
2008-08,24.5769,0.20551,0.011637,5.28535,36.2264
2008-09,25.2464,0.210694,0.011945,4.99434,36.37
2008-10,26.543,0.221515,0.012559,3.7623,35.0447
2008-11,27.606,0.229333,0.012888,3.74319,35.7166
2008-12,29.3804,0.243165,0.013349,3.8557,41.4411
2009-01,35.4146,0.290212,0.013006,4.5564,45.6636
2009-02,35.7205,0.237054,0.012529,4.20241,45.3543
2009-03,34.0134,0.22463,0.012169,4.22527,44.9419
2009-04,33.2491,0.220594,0.011741,4.15095,43.8389
2009-05,30.9843,0.205889,0.011121,4.05288,43.378
2009-06,31.2904,0.208076,0.011053,4.07427,43.8191
2009-07,31.7555,0.210615,0.011209,4.05045,44.6927
2009-08,31.5687,0.209293,0.011143,3.75148,45.3011
2009-09,30.0922,0.199306,0.010871,3.56332,44.0068
2009-10,29.0488,0.192676,0.010586,3.53392,43.0678
2009-11,29.8179,0.20047,0.010879,3.70409,44.3571
2009-12,30.2442,0.203857,0.010608,3.76172,43.3883
2010-01,30.4312,0.205686,0.010541,3.78969,42.4637
2010-02,29.9484,0.203281,0.010218,3.73328,40.8047
2010-03,29.3638,0.199686,0.009817,3.70568,39.7028
2010-04,29.2886,0.199656,0.009888,3.67393,38.702
2010-05,30.4956,0.208154,0.010162,3.84875,37.6316
2010-06,31.1954,0.21153,0.010343,3.94629,38.1863
2010-07,30.1869,0.204352,0.010143,3.82316,39.4694
2010-08,30.664,0.208252,0.010184,3.88767,39.0291
2010-09,30.403,0.206115,0.010074,3.83078,41.3481
2010-10,30.7821,0.20865,0.01022,3.87172,42.7256
2010-11,31.3061,0.212101,0.010325,3.92799,41.5682
2010-12,30.4769,0.206791,0.010156,3.82828,40.3331
2011-01,29.6684,0.202115,0.009847,3.74247,40.6487
2011-02,28.9405,0.198229,0.00957,3.64306,40.0073
2011-03,28.429,0.195073,0.009355,3.56633,40.0223
2011-04,27.5022,0.188863,0.009125,3.45288,40.8078
2011-05,28.0685,0.193189,0.00569,3.51934,40.0594
2011-06,28.0758,0.192044,0.005638,3.51418,40.387
2011-07,27.6796,0.189139,0.005591,3.46125,39.5182
2011-08,28.8569,0.197144,0.005696,3.61095,41.8396
2011-09,31.8751,0.215511,0.005707,3.98215,43.3979
2011-10,29.8977,0.202628,0.003501,3.73628,42.383
2011-11,31.3216,0.212084,0.003625,3.90617,41.8457
2011-12,32.1961,0.216874,0.003856,4.00549,41.6714
2012-01,30.3647,0.204277,0.003628,3.77929,39.9691
2012-02,28.9503,0.196054,0.00357,3.61856,38.9121
2012-03,29.3282,0.198371,0.003634,3.65165,39.1707
2012-04,29.3627,0.198712,0.003648,3.65476,38.9203
2012-05,32.4509,0.2193,0.003938,4.01372,40.4598
2012-06,32.8169,0.219621,0.003935,4.06225,41.323
2012-07,32.1881,0.214552,0.003897,3.97703,39.5527
2012-08,32.2934,0.215937,0.00384,3.978,40.525
2012-09,30.9169,0.205982,0.003663,3.79442,39.9786
2012-10,31.5252,0.209122,0.003709,3.85441,40.7148
2012-11,31.0565,0.20663,0.003624,3.79989,40.2057
2012-12,30.3727,0.202107,0.003534,3.759,40.2286
2013-01,30.0277,0.198991,0.003471,3.68868,40.5134
2013-02,30.6202,0.203565,0.003554,3.761,40.042
2013-03,31.0834,0.206,0.003581,3.81626,39.8023
2013-04,31.2559,0.206644,0.003615,3.8372,40.8358
2013-05,31.5893,0.208786,0.003629,3.87718,40.965
2013-06,32.709,0.215673,0.003721,4.01067,42.718
2013-07,32.8901,0.214561,0.0037,4.04602,43.609
2013-08,33.2474,0.216899,0.003688,4.09325,44.0129
2013-09,32.3451,0.210388,0.00356,3.95417,43.6497
2013-10,32.0613,0.207718,0.003468,3.92283,44.0586
2013-11,33.1916,0.215663,0.00355,4.0443,45.187
2013-12,32.7292,0.213088,0.003431,3.97199,44.9699
2014-01,35.2448,0.226691,0.00366,4.15868,48.0951
2014-02,36.0501,0.195924,0.003679,3.55173,49.3454
2014-03,35.6871,0.196029,0.003612,3.22654,49.0519
2014-04,35.6983,0.196107,0.003573,3.09076,49.5064
2014-05,34.7352,0.189303,0.003446,2.94366,47.2677
2014-06,33.6306,0.183243,0.003297,2.83803,45.8251
2014-07,35.7271,0.194656,0.003464,2.9405,47.8958
2014-08,36.9316,0.20291,0.003541,2.73567,48.6315
2014-09,39.3866,0.216535,0.003716,3.04144,49.954
2014-10,43.3943,0.23986,0.004042,3.33751,54.6378
2014-11,49.322,0.272542,0.004533,3.2831,61.4108
2014-12,56.2584,0.308257,0.00388,3.55643,68.3427
2015-01,68.9291,0.373711,0.00441,4.32993,78.1105
2015-02,61.2718,0.330663,0.004098,2.07701,68.6857
2015-03,58.4643,0.314654,0.003977,2.49719,63.3695
2015-04,51.7029,0.278257,0.00359,2.46204,56.806
2015-05,52.9716,0.284855,0.003561,2.5105,58.0145
2015-06,55.524,0.298179,0.003637,2.64463,61.5206
2015-07,58.9906,0.314734,0.003873,2.71221,64.6478
2015-08,66.4779,0.279754,0.00381,3.12837,75.0469
2015-09,66.2367,0.244209,0.003739,3.08078,74.5825
2015-10,64.3742,0.229859,0.00369,2.79281,70.7537
2015-11,66.2393,0.215644,0.003644,2.78902,70.3859
2015-12,72.8827,0.215165,0.003895,3.0463,79.6972
2016-01,75.1723,0.206961,0.00361,2.95954,81.9077
2016-02,75.0903,0.214734,0.003502,2.77598,82.9748
2016-03,67.6076,0.197297,0.003358,2.57406,76.5386
2016-04,64.3334,0.196618,0.003347,2.55291,73.3015
2016-05,66.0825,0.196367,0.003341,2.62701,73.497
2016-06,64.2575,0.18955,0.0032,2.58529,71.2102
2016-07,67.0512,0.190273,0.0,2.70368,74.3799
2016-08,64.9072,0.191399,0.0,2.52902,72.5013
2016-09,63.1581,0.188585,0.0,2.43854,70.8823
2016-10,62.9037,0.188416,0.0,2.4673,68.6783
2016-11,64.9449,0.190709,0.0,2.4845,68.8416
2016-12,60.6569,0.181637,0.0,2.23826,63.8111
2017-01,60.1618,0.18415,0.0,2.21795,64.4333
2017-02,57.9371,0.185236,0.0,2.14264,61.2569
2017-03,56.3779,0.1791,0.0,2.08691,60.595
2017-04,56.9838,0.181226,0.0,2.14669,62.044
2017-05,56.5168,0.18158,0.0,2.14322,62.9484
2017-06,59.0855,0.183752,0.0,2.26468,67.4993
2017-07,59.5436,0.182127,0.0,2.29809,69.6779
2017-08,58.7306,0.175135,0.0,2.2973,70.2007
2017-09,58.0169,0.170075,0.0,2.1815,68.4483
2017-10,57.8716,0.173656,0.0,2.15738,67.2179
2017-11,58.3311,0.17612,0.0,2.16121,69.204
2017-12,57.6002,0.173184,0.0,2.04955,68.8668
2018-01,56.2914,0.174425,0.0,2.01041,69.5424
2018-02,55.6717,0.17455,0.0,2.06421,68.6599
2018-03,57.2649,0.179829,0.0,2.17613,70.5618
2018-04,61.9997,0.189546,0.0,2.36369,75.2056
2018-05,62.5937,0.189531,0.0,2.39547,72.5211
2018-06,62.7565,0.183843,0.0,2.38527,72.9921
2018-07,62.7805,0.180997,0.0,2.34803,73.2021
2018-08,68.0821,0.187229,0.0,2.407,79.6765
2018-09,65.5906,0.180626,0.0,2.32056,76.2294
2018-10,65.7742,0.178332,0.0,2.33118,74.7918
2018-11,66.6342,0.179811,0.0,2.34625,75.8897
2018-12,69.4706,0.18057,0.0,2.50706,79.4605
2019-01,66.0987,0.173405,0.0,2.38121,75.5706
2019-02,65.757,0.174616,0.0,2.43342,74.8249
2019-03,64.7347,0.170498,0.0,2.38008,72.723
2019-04,64.6917,0.169361,0.0,2.45068,72.2024
2019-05,65.0583,0.170544,0.0,2.41673,72.4229
2019-06,63.0756,0.165759,0.0,2.41161,71.8179
2019-07,63.3791,0.164747,0.0,2.52579,70.598
2019-08,66.4897,0.171686,0.0,2.64585,73.3847
2019-09,64.4156,0.166095,0.0,2.67215,70.3161
2019-10,63.8734,0.164345,0.0,2.55632,71.0081
2019-11,64.0817,0.165875,0.0,2.67341,70.5475
2019-12,61.9057,0.162174,0.0,2.61205,69.3406
2020-01,63.0359,0.166092,0.0,2.52573,69.4151
2020-02,66.9909,0.175541,0.0,2.7257,73.7235
2020-03,77.7325,0.174278,0.0,2.75213,85.7389
2020-04,73.6894,0.171546,0.0,2.73605,80.0488
2020-05,70.752,0.171643,0.0,2.62872,78.5489
2020-06,69.9513,0.172845,0.0,2.61743,78.6812
2020-07,73.3633,0.17462,0.0,2.64845,86.2532
2020-08,74.6382,0.177566,0.0,2.71481,88.7448
2020-09,79.6845,0.184609,0.0,2.81632,93.0237
2020-10,79.3323,0.183154,0.0,2.78971,92.6284
2020-11,75.8599,0.178898,0.0,2.66526,90.4629
2020-12,73.8757,0.175481,0.0,2.61738,90.6824
2021-01,76.2527,0.179782,0.0,2.7094,92.2963
2021-02,74.4373,0.178255,0.0,2.66296,90.3743
2021-03,75.7023,0.178268,0.0,2.71592,88.8821
2021-04,74.3823,0.173809,0.0,2.68362,90.1513
2021-05,73.587,0.17167,0.0,2.67711,89.6731
2021-06,72.3723,0.168899,0.0,2.66343,86.2026
2021-07,73.1388,0.171891,0.0,2.72718,86.9913
2021-08,73.5744,0.172184,0.0,2.73949,86.8104
2021-09,72.7608,0.17092,0.0,2.73823,84.8755
2021-10,70.52,0.16494,0.0,2.68152,82.2898
2021-11,74.9818,0.171152,0.0,2.76378,84.482
2021-12,74.2926,0.169,0.0,2.72584,84.0695
2022-01,77.8174,0.178808,0.0,2.69859,86.6419
2022-02,83.5485,0.180019,0.0,2.78032,93.5994
2022-03,84.0851,0.180649,0.0,2.8459,93.696
2022-04,71.0237,0.158362,0.0,2.34698,74.5589
2022-05,63.0975,0.145621,0.0,2.14617,64.717
2022-06,51.158,0.112176,0.0,1.73153,53.858
